127.0.0.1 - - [04/Oct/2025:10:48:55 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [04/Oct/2025:10:48:57 +0530] "GET /servlet_demo/table.jsp HTTP/1.1" 200 237
0:0:0:0:0:0:0:1 - - [04/Oct/2025:10:49:02 +0530] "GET /servlet_demo/table.jsp?num=5 HTTP/1.1" 200 266
0:0:0:0:0:0:0:1 - - [04/Oct/2025:10:52:20 +0530] "GET /servlet_demo/table.jsp HTTP/1.1" 200 237
0:0:0:0:0:0:0:1 - - [04/Oct/2025:10:52:22 +0530] "GET /servlet_demo/table.jsp?num=5 HTTP/1.1" 200 356
0:0:0:0:0:0:0:1 - - [04/Oct/2025:10:54:36 +0530] "GET /servlet_demo/table.jsp?num=10 HTTP/1.1" 200 449
0:0:0:0:0:0:0:1 - - [04/Oct/2025:10:54:50 +0530] "GET /servlet_demo/table.jsp?num=25 HTTP/1.1" 200 455
0:0:0:0:0:0:0:1 - - [04/Oct/2025:10:54:55 +0530] "GET /servlet_demo/table.jsp?num=43 HTTP/1.1" 200 456
0:0:0:0:0:0:0:1 - - [04/Oct/2025:10:55:09 +0530] "GET /servlet_demo/table.jsp?num=12 HTTP/1.1" 200 450
0:0:0:0:0:0:0:1 - - [04/Oct/2025:10:55:55 +0530] "GET /servlet_demo/table.jsp?num=12 HTTP/1.1" 200 447
0:0:0:0:0:0:0:1 - - [04/Oct/2025:10:55:55 +0530] "GET /servlet_demo/table.jsp?num=12 HTTP/1.1" 200 447
0:0:0:0:0:0:0:1 - - [04/Oct/2025:10:55:55 +0530] "GET /servlet_demo/table.jsp?num=12 HTTP/1.1" 200 447
0:0:0:0:0:0:0:1 - - [04/Oct/2025:10:55:59 +0530] "GET /servlet_demo/table.jsp?num=12 HTTP/1.1" 200 447
0:0:0:0:0:0:0:1 - - [04/Oct/2025:10:56:03 +0530] "GET /servlet_demo/table.jsp?num=14 HTTP/1.1" 200 448
0:0:0:0:0:0:0:1 - - [04/Oct/2025:10:58:40 +0530] "GET /servlet_demo/table.jsp?num=14 HTTP/1.1" 200 3294
0:0:0:0:0:0:0:1 - - [04/Oct/2025:10:58:40 +0530] "GET /servlet_demo/table.jsp?num=14 HTTP/1.1" 200 3294
0:0:0:0:0:0:0:1 - - [04/Oct/2025:10:58:40 +0530] "GET /servlet_demo/table.jsp?num=14 HTTP/1.1" 200 3294
0:0:0:0:0:0:0:1 - - [04/Oct/2025:10:58:49 +0530] "GET /servlet_demo/table.jsp?num=10 HTTP/1.1" 200 2354
0:0:0:0:0:0:0:1 - - [04/Oct/2025:10:59:53 +0530] "GET /servlet_demo/table.jsp?num=10 HTTP/1.1" 200 2354
0:0:0:0:0:0:0:1 - - [04/Oct/2025:11:00:02 +0530] "GET /servlet_demo/table.jsp?num=10 HTTP/1.1" 200 2354
0:0:0:0:0:0:0:1 - - [04/Oct/2025:11:01:31 +0530] "GET /servlet_demo/table.jsp?num=10 HTTP/1.1" 200 2232
0:0:0:0:0:0:0:1 - - [04/Oct/2025:11:01:31 +0530] "GET /servlet_demo/table.jsp?num=10 HTTP/1.1" 200 2232
0:0:0:0:0:0:0:1 - - [04/Oct/2025:11:01:31 +0530] "GET /servlet_demo/table.jsp?num=10 HTTP/1.1" 200 2232
0:0:0:0:0:0:0:1 - - [04/Oct/2025:11:01:57 +0530] "GET /servlet_demo/table.jsp?num=10 HTTP/1.1" 200 2242
0:0:0:0:0:0:0:1 - - [04/Oct/2025:11:01:57 +0530] "GET /servlet_demo/table.jsp?num=10 HTTP/1.1" 200 2242
0:0:0:0:0:0:0:1 - - [04/Oct/2025:11:01:57 +0530] "GET /servlet_demo/table.jsp?num=10 HTTP/1.1" 200 2242
0:0:0:0:0:0:0:1 - - [04/Oct/2025:11:02:02 +0530] "GET /servlet_demo/table.jsp?num=10 HTTP/1.1" 200 2242
0:0:0:0:0:0:0:1 - - [04/Oct/2025:11:06:43 +0530] "GET /servlet_demo/jsp_demo1.jsp HTTP/1.1" 200 376
